J7,lambda_K2,E0,r3,switched
-0.5,0.06,6.0,0.985704660683179,0
-0.55,0.03,7.0,0.9889684252178105,0
-0.55,0.03,4.0,0.9890115563958466,0
-0.55,0.03,2.0,0.9890180806918405,0
-0.55,0.03,16.0,0.9889856572666648,0
-0.55,0.02,4.0,0.9889782205230839,0
-0.5,0.05,6.0,0.9857148118541494,0
-0.55,0.01,7.0,0.9889409729645845,0
-0.55,0.03,10.0,0.9889887117576364,0
-0.55,0.03,3.0,0.9889942921116359,0
-0.55,0.04,1.0,0.9890798913253026,0
-0.55,0.04,2.0,0.9890015455040279,0
-0.55,0.04,3.0,0.989013026081299,0
-0.55,0.04,4.0,0.9890040818780141,0
-0.55,0.04,5.0,0.9889859559749022,0
-0.55,0.04,16.0,0.9889970521639244,0
-0.55,0.04,8.0,0.9889936650287328,0
-0.55,0.03,1.0,0.9890905160288426,0
-0.55,0.03,8.0,0.988970205241967,0
-0.55,0.05,2.0,0.9890096984685735,0
-0.55,0.04,12.0,0.9889926351660956,0
-0.55,0.03,12.0,0.9889827761733374,0
-0.55,0.04,7.0,0.9889902719710731,0
-0.55,0.05,5.0,0.9889914587155991,0
-0.55,0.05,4.0,0.9889948203599075,0
-0.55,0.04,10.0,0.988987612930125,0
-0.55,0.05,3.0,0.9890120971118155,0
-0.55,0.05,1.0,0.9890668985416174,0
-0.55,0.05,7.0,0.9889945052436424,0
-0.55,0.05,10.0,0.9889965024486785,0
-0.55,0.04,6.0,0.9889828662268805,0
-0.55,0.01,3.0,0.9890906358220524,0
-0.55,0.05,16.0,0.9890063476546684,0
-0.55,0.05,6.0,0.9889956257174503,0
-0.55,0.05,12.0,0.988998388770849,0
-0.55,0.06,2.0,0.9890179541839583,0
-0.55,0.06,1.0,0.9890566166835076,0
-0.55,0.06,8.0,0.9889960966748698,0
-0.55,0.06,4.0,0.988997086228925,0
-0.55,0.06,16.0,0.9890080293329053,0
-0.55,0.06,7.0,0.9889943640137534,0
-0.55,0.06,5.0,0.98899820864122,0
-0.55,0.05,8.0,0.988992166992107,0
-0.55,0.06,6.0,0.9889958565299353,0
-0.55,0.06,12.0,0.9890008578925794,0
-0.55,0.06,3.0,0.9890070714438035,0
-0.55,0.06,10.0,0.9889976446240845,0
-0.55,0.08,1.0,0.989051285566645,0
-0.55,0.08,3.0,0.9890096201948099,0
-0.55,0.08,4.0,0.9890045102016423,0
-0.55,0.08,5.0,0.9889992622145413,0
-0.55,0.08,6.0,0.988997705652465,0
-0.55,0.08,2.0,0.9890240138366447,0
-0.55,0.08,7.0,0.9889965855422257,0
-0.55,0.08,12.0,0.9889981317249099,0
-0.55,0.08,8.0,0.988995758844349,0
-0.55,0.08,10.0,0.9889964571199313,0
-0.55,0.08,16.0,0.989003296260561,0
-0.45,0.05,25.0,0.980305888887836,0
-0.55,0.02,35.0,0.9889776455626721,0
-0.4,0.03,18.0,0.9692426011329293,0
-0.55,0.01,40.0,0.6838697320887848,0
-0.45,0.08,22.0,0.9801856793388707,0
-0.6,0.01,1.0,0.991318187643298,0
-0.6,0.01,2.0,0.991334352608778,0
-0.6,0.01,3.0,0.9913458396196426,0
-0.6,0.01,4.0,0.9913401743238699,0
-0.6,0.01,5.0,0.99131761338316,0
-0.6,0.01,6.0,0.9912893041404682,0
-0.6,0.01,7.0,0.9912634876373806,0
-0.6,0.01,8.0,0.9912392020391793,0
-0.6,0.01,10.0,0.9911911106795225,0
-0.6,0.01,12.0,0.9911633010671912,0
-0.6,0.01,16.0,0.991135677688486,0
-0.45,0.08,18.0,0.9801739882794316,0
-0.55,0.04,30.0,0.9890233436118085,0
-0.4,0.05,22.0,0.9691810071282634,0
-0.4,0.04,40.0,0.13030787246546774,1
-0.5,0.06,18.0,0.9857743499908528,0
-0.4,0.01,18.0,0.0013016423754046546,1
-0.4,0.06,18.0,0.9691265933279335,0
-0.6,0.02,1.0,0.991324211389317,0
-0.6,0.02,2.0,0.9913219925398532,0
-0.6,0.02,3.0,0.9912797996942295,0
-0.6,0.02,4.0,0.9912546334836231,0
-0.6,0.02,5.0,0.9912502937077811,0
-0.6,0.02,6.0,0.9912419783216694,0
