J7,lambda_K2,E0,r3,switched
-0.41,0.045,40.0,0.9723254692706325,0
-0.41,0.035,14.0,0.9722476703827149,0
-0.4,0.04,36.0,0.9692883526376027,0
-0.4,0.005,10.0,0.9690389535529621,0
-0.41,0.025,22.0,0.9723090759046822,0
-0.41,0.03,20.0,0.9722883895075994,0
-0.41,0.005,16.0,0.002011110965958109,1
-0.41,0.04,26.0,0.972293579880317,0
-0.41,0.005,14.0,0.972145890790789,0
-0.41,0.04,30.0,0.9723116696287287,0
-0.41,0.02,24.0,0.07818048572824868,1
-0.41,0.045,24.0,0.9722619427992476,0
-0.4,0.015,36.0,0.002812719392388356,1
-0.4,0.005,20.0,2.4797957927361563e-15,1
-0.4,0.045,10.0,0.9691461699457365,0
-0.4,0.01,36.0,0.0005527767120850368,1
-0.4,0.005,32.0,9.987745035161726e-17,1
-0.4,0.01,32.0,0.0005527766494713837,1
-0.4,0.005,22.0,1.6966554147482866e-15,1
-0.41,0.02,30.0,0.0033288707587143733,1
-0.41,0.01,28.0,0.0013191044867598306,1
-0.41,0.035,20.0,0.9722837263716696,0
-0.41,0.02,38.0,0.0033289120661380476,1
-0.41,0.03,24.0,0.97231891242273,0
-0.41,0.025,16.0,0.9722679595273886,0
-0.41,0.005,18.0,0.0007774540768708847,1
-0.41,0.02,26.0,0.07967749164155222,1
-0.41,0.015,16.0,0.060223048924075866,1
-0.4,0.005,30.0,1.649037315055008e-16,1
-0.41,0.005,38.0,0.00023733939493134708,1
-0.41,0.045,30.0,0.9722881190221874,0
-0.41,0.04,40.0,0.46189424650945454,0
-0.41,0.03,38.0,0.13039285597272285,1
-0.41,0.02,16.0,0.9722719085836324,0
-0.4,0.01,10.0,0.969215857487698,0
-0.41,0.025,28.0,0.3220882243190578,0
-0.4,0.04,10.0,0.9691554898085268,0
-0.41,0.03,32.0,0.9723559049216606,0
-0.4,0.035,32.0,0.96929588070774,0
-0.4,0.005,34.0,5.734961006827486e-17,1
-0.4,0.03,40.0,0.02156716484050035,1
-0.41,0.035,36.0,0.3545230965207352,0
-0.41,0.015,40.0,0.0016462019316310567,1
-0.41,0.02,18.0,0.9722759856095194,0
-0.41,0.005,24.0,3.577415622467274e-16,1
-0.41,0.04,24.0,0.9722855802173455,0
-0.4,0.02,36.0,0.0028128113777884304,1
-0.41,0.03,16.0,0.9722739330390211,0
-0.4,0.005,26.0,9.029338966793507e-17,1
-0.4,0.04,32.0,0.9692738242929189,0
-0.41,0.035,16.0,0.9722531913657763,0
-0.4,0.005,24.0,4.5284798196656e-16,1
-0.4,0.03,36.0,0.056588871932189734,1
-0.41,0.02,14.0,0.9722720608851131,0
-0.41,0.01,34.0,0.0016458176325941489,1
-0.41,0.01,36.0,0.0013190750814109646,1
-0.41,0.015,36.0,0.0024157422624109153,1
-0.41,0.04,36.0,0.9723350977583974,0
-0.4,0.015,32.0,0.003291097774359419,1
-0.41,0.025,26.0,0.9723347521582089,0
-0.41,0.005,40.0,0.00023733969481454253,1
-0.41,0.04,28.0,0.9723011918859306,0
-0.4,0.005,40.0,3.338430866515695e-16,1
-0.41,0.005,10.0,0.9720616559921353,0
-0.41,0.03,12.0,0.9722293987098742,0
-0.41,0.045,34.0,0.9723043979648963,0
-0.41,0.005,34.0,6.485302540188914e-17,1
-0.41,0.01,38.0,0.001319096484900991,1
-0.41,0.015,10.0,0.9722126192054863,0
-0.41,0.035,32.0,0.9723380186200274,0
-0.41,0.02,34.0,0.003328982565486825,1
-0.4,0.02,10.0,0.9691794742937674,0
-0.41,0.03,28.0,0.9723329760967679,0
-0.41,0.03,26.0,0.9723250923048544,0
-0.41,0.025,38.0,0.00587140278254651,1
-0.4,0.005,18.0,6.982526555220503e-16,1
-0.41,0.025,24.0,0.9723186080634089,0
-0.41,0.02,28.0,0.005871511736485352,1
-0.41,0.045,38.0,0.9723180303066704,0
-0.41,0.045,16.0,0.9722260717896346,0
-0.41,0.02,20.0,0.9722954830119536,0
-0.41,0.01,40.0,0.0010297199446549635,1
-0.41,0.005,12.0,0.9720852349265902,0
-0.4,0.025,36.0,0.0038104825980839183,1
-0.41,0.03,18.0,0.9722798116935372,0
-0.41,0.035,38.0,0.18455187713174023,1
-0.41,0.035,40.0,0.18455151797766314,1
-0.4,0.005,16.0,0.0007588192774419403,1
-0.4,0.035,40.0,0.10249535822049305,1
-0.41,0.045,22.0,0.9722550908931606,0
-0.41,0.015,20.0,0.005871350298199917,1
-0.41,0.005,32.0,3.074687777273095e-17,1
-0.41,0.025,10.0,0.9722364361649535,0
-0.41,0.04,20.0,0.9722624990983967,0
-0.41,0.015,12.0,0.9722115184909528,0
-0.41,0.005,20.0,0.00023731923998783217,1
