lattice,dtype,strength,half_width,e0,sigma_k,seed,label,final_r3,final_zz_frac,final_zz_on_band_density,final_zz_off_band_density,final_zz_on_band_pct,final_pinning_enrichment,quench_r3,quench_zz_frac,quench_zz_on_band_density,quench_zz_off_band_density,quench_zz_on_band_pct,quench_pinning_enrichment,written,pinned_written
36,kred,0.5,2.0,11.5,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E11p50_sig0p500_seed001,0.002826488660324601,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269816,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,13.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p00_sig0p500_seed001,0.0028264886603530095,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269786,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,12.5,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E12p50_sig0p500_seed001,0.0028264886603422195,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269933,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,13.5,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E13p50_sig0p500_seed001,0.0028264886603644145,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426987,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,14.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E14p00_sig0p500_seed001,0.002826488660377154,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426993,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,15.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E15p00_sig0p500_seed001,0.002826488660406629,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426989,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,16.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E16p00_sig0p500_seed001,0.0028264886604414032,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.0028264886614269946,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,40.0,0.3,16,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E40p00_sig0p300_seed016,0.0051837599637215084,0.013503086419753086,0.04563492063492063,0.005747126436781609,65.71428571428571,7.94047619047619,0.0051837599729715024,0.013503086419753086,0.04563492063492063,0.005747126436781609,65.71428571428571,7.94047619047619,0,0
36,kred,0.5,2.0,18.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E18p00_sig0p500_seed001,0.002826488660529968,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426992,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
36,kred,0.5,2.0,17.0,0.5,1,L36_kred_s0p500_hw2p00_global-zero-k_allJKGG_E17p00_sig0p500_seed001,0.002826488660482392,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0.002826488661426996,0.005015432098765432,0.003968253968253968,0.005268199233716475,15.384615384615385,0.7532467532467532,0,0
