coupling,theta_deg,e0,r3,switched
j7off,7.5,34.0,0.0013015768709469567,1
j7off,0.0,4.0,0.9691253536004262,0
j7off,7.5,26.0,0.001625196530248257,1
j7off,37.5,20.0,0.9693036498438234,0
j7off,30.0,14.0,0.9692703095241532,0
j7off,15.0,16.0,0.9692658690184438,0
j7off,37.5,24.0,0.969317878333261,0
j7off,15.0,14.0,0.9692645814093709,0
j7off,37.5,28.0,0.9693296623856046,0
j7off,7.5,30.0,0.001625180837818061,1
j7off,22.5,12.0,0.9692583065491484,0
j7off,22.5,26.0,0.11539068587152419,1
j7off,7.5,20.0,0.030926909569422668,1
j7off,22.5,20.0,0.9693065943591169,0
j7off,15.0,38.0,0.0013016046663647603,1
j7off,0.0,18.0,0.9692459632656316,0
j7off,30.0,26.0,0.9691705763847195,0
j7off,0.0,34.0,0.003291069823119834,1
j7off,7.5,6.0,0.9691897053097742,0
j7off,0.0,14.0,0.9692408822318783,0
j7off,30.0,16.0,0.9692765933697272,0
j7off,0.0,22.0,0.0033060874990955783,1
j7off,37.5,6.0,0.9692014487670081,0
j7off,0.0,20.0,0.04983097528645205,1
j7off,37.5,8.0,0.9691999861480111,0
j7off,45.0,12.0,0.969261776792137,0
j7off,45.0,8.0,0.9692020583207476,0
j7off,45.0,24.0,0.9693091920253282,0
j7off,45.0,20.0,0.9692968889537843,0
j7off,52.5,20.0,0.9692881571487765,0
j7off,52.5,14.0,0.9692599636698979,0
j7off,52.5,38.0,0.14067738166621446,1
j7off,52.5,10.0,0.9692317454888161,0
j7off,45.0,18.0,0.9692827812411204,0
j7off,45.0,22.0,0.9693050041693377,0
j7off,45.0,26.0,0.9693147889329646,0
j7off,45.0,10.0,0.9692329582681233,0
j7off,45.0,14.0,0.9692662121153336,0
j7off,45.0,38.0,0.0045032511403995884,1
j7off,45.0,6.0,0.9692002778589344,0
j7off,60.0,30.0,0.9693054701273589,0
j7off,60.0,10.0,0.9692286313264385,0
j7off,60.0,34.0,0.969313722308038,0
j7off,52.5,16.0,0.9692632608368716,0
j7off,75.0,12.0,0.9692264726674724,0
j7off,60.0,22.0,0.9692839266959232,0
j7off,67.5,22.0,0.969267419092114,0
j7off,52.5,6.0,0.9691970113067523,0
j7off,45.0,16.0,0.9692704107722705,0
j7off,45.0,34.0,0.025173385900925157,1
j7off,75.0,20.0,0.9692375519289631,0
j7off,60.0,24.0,0.969286812733579,0
j7off,60.0,6.0,0.9691916337721914,0
j7off,52.5,4.0,0.9691829788088814,0
j7off,67.5,26.0,0.9692769391077146,0
j7off,67.5,34.0,0.9692959736598816,0
j7off,52.5,18.0,0.9692745382503276,0
